Record_ID,Age_Numeric,Gender,Occupation,Income_Numeric,Primary_OTT_Platform,Subscriptions_Numeric,Tenure_Months,Monthly_Spend_Numeric,Share_Account,Hours_Watched_Numeric,Preferred_Genre,Primary_Device,Usual_Viewing_Time,Pricing_Satisfaction,Content_Satisfaction,Content_Variety,Recommendation_Quality,Advertisement_Tolerance,Streaming_Experience,Switched_Before,Competitor_Awareness,Switch_Intent,Main_Reason_For_Switching,What_Would_Encourage_Stay,Suggestions_To_Improve,Data_Source,Cost_Fatigue_Score,Content_Fatigue_Score,Experience_Fatigue_Score,Overall_Fatigue_Score,Dominant_Fatigue_Type
33,21.0,Male,Student,0,Amazon Prime Video,5.0,9.0,350,Yes,2.5,Romance,Laptop/Desktop,Night,3,4,3,4,2,4,No,No,Yes,Lack of content,Better content,Offer better family plans,Synthetic,48.0,49.0,48.0,48.33,Content
34,21.0,Female,Student,0,Netflix,3.0,4.5,1750,Yes,15.0,Horror,Mobile,Night,3,5,5,3,2,4,Yes,No,No,No plans to switch,"Lower price, Family plans",Improve content variety,Synthetic,72.0,20.0,55.0,49.0,Cost
35,21.0,Female,Student,0,Netflix,5.0,1.5,100,No,7.5,Drama,Laptop/Desktop,Night,4,5,5,4,2,4,Yes,Yes,No,No plans to switch,"Better streaming quality, Fewer ads",Improve recommendations,Synthetic,29.71,20.0,48.0,32.57,Experience
36,39.5,Female,Homemaker,37500,Netflix,2.0,9.0,750,No,7.5,Romance,Laptop/Desktop,Evening,2,4,5,4,4,4,Yes,Yes,No,No plans to switch,"Lower price, Better content",Offer better family plans,Synthetic,68.86,31.0,40.0,46.62,Cost
37,21.0,Male,Homemaker,0,Netflix,5.0,1.5,350,No,7.5,Horror,Mobile,Night,4,4,2,4,4,3,Yes,No,Yes,Limited content variety,"Better content, Exclusive originals",Offer better family plans,Synthetic,34.0,58.0,49.0,47.0,Content
38,39.5,Male,Homemaker,0,Disney+ Hotstar,2.0,9.0,750,Yes,7.5,Comedy,Laptop/Desktop,Night,3,4,4,5,2,3,No,No,No,No plans to switch,"Lower price, Family plans",Reduce buffering,Synthetic,54.86,40.0,50.0,48.29,Cost
39,21.0,Male,Student,0,Netflix,2.0,30.0,750,No,7.5,Romance,Laptop/Desktop,Evening,3,4,3,5,3,3,Yes,Yes,No,No plans to switch,"Lower price, Better content",Reduce advertisements,Synthetic,54.86,49.0,46.0,49.95,Cost
40,39.5,Male,Student,0,Disney+ Hotstar,2.0,9.0,350,Yes,2.5,Comedy,Mobile,Night,3,5,4,3,2,3,No,No,No,No plans to switch,Better streaming quality,Offer better family plans,Synthetic,48.0,29.0,64.0,47.0,Experience
41,39.5,Male,Student,62500,Netflix,1.0,9.0,350,Yes,15.0,Action,Smart TV,Evening,3,5,5,5,5,3,No,No,No,No plans to switch,"Lower price, Better content",Offer better family plans,Synthetic,48.0,20.0,38.0,35.33,Cost
42,21.0,Male,Student,0,Netflix,2.0,30.0,750,Yes,7.5,Anime,Laptop/Desktop,Night,4,3,4,5,5,4,Yes,Yes,Yes,Lack of content,Better content,Improve recommendations,Synthetic,40.86,51.0,29.0,40.29,Content
43,21.0,Male,Student,0,Netflix,2.0,9.0,750,No,7.5,Action,Mobile,Evening,3,5,2,5,3,4,No,No,No,No plans to switch,"Lower price, Better content",Improve recommendations,Synthetic,54.86,47.0,37.0,46.29,Cost
44,21.0,Male,Student,0,Netflix,2.0,4.5,350,Yes,7.5,Comedy,Mobile,Night,4,3,5,3,3,3,No,No,No,No plans to switch,Better recommendations,Reduce advertisements,Synthetic,34.0,42.0,60.0,45.33,Experience
45,21.0,Male,Homemaker,62500,Disney+ Hotstar,5.0,4.5,350,No,7.5,Romance,Mobile,Night,5,4,4,5,2,4,Yes,No,No,No plans to switch,"Better streaming quality, Fewer ads",Improve recommendations,Synthetic,20.0,40.0,41.0,33.67,Experience
46,21.0,Female,Student,37500,Disney+ Hotstar,3.0,9.0,350,Yes,15.0,Action,Smart TV,Evening,1,4,3,3,4,3,Yes,No,No,No plans to switch,"Lower price, Better content",Reduce advertisements,Synthetic,76.0,49.0,56.0,60.33,Cost
47,21.0,Male,Student,0,Netflix,3.0,4.5,750,Yes,7.5,Anime,Mobile,Evening,4,4,4,4,1,4,No,No,Yes,Poor recommendations,"Better streaming quality, Fewer ads",Reduce buffering,Synthetic,40.86,40.0,52.0,44.29,Experience
48,21.0,Male,Student,0,Netflix,1.0,1.5,750,Yes,7.5,Thriller,Laptop/Desktop,Night,4,4,4,3,3,4,No,Yes,No,No plans to switch,"Better streaming quality, Fewer ads",Improve recommendations,Synthetic,40.86,40.0,51.0,43.95,Experience
49,39.5,Female,Student,125000,Netflix,3.0,4.5,1750,No,7.5,Comedy,Laptop/Desktop,Evening,4,3,4,5,5,3,No,Yes,Yes,Lower price,"Lower price, Better content",Improve recommendations,Synthetic,58.0,51.0,38.0,49.0,Cost
50,21.0,Female,Student,0,Netflix,2.0,9.0,100,No,7.5,Thriller,Mobile,Night,4,4,4,3,2,4,Yes,No,Yes,Poor streaming experience,Better recommendations,Lower subscription prices,Synthetic,29.71,40.0,55.0,41.57,Experience
51,21.0,Male,Homemaker,125000,Amazon Prime Video,3.0,30.0,350,No,7.5,Action,Laptop/Desktop,Evening,5,4,5,5,2,4,No,Yes,No,No plans to switch,Better recommendations,Reduce buffering,Synthetic,20.0,31.0,41.0,30.67,Experience
52,21.0,Female,Homemaker,0,Netflix,2.0,9.0,750,No,2.5,Comedy,Mobile,Evening,1,5,3,5,4,4,No,No,No,No plans to switch,"Lower price, Family plans",Add more exclusive content,Synthetic,82.86,38.0,33.0,51.29,Cost
53,21.0,Male,Student,62500,Amazon Prime Video,2.0,4.5,100,Yes,7.5,Action,Mobile,Night,4,5,3,4,3,4,No,Yes,No,No plans to switch,Better recommendations,Reduce advertisements,Synthetic,29.71,38.0,44.0,37.24,Experience
54,39.5,Female,Student,0,Netflix,5.0,1.5,750,Yes,7.5,Comedy,Laptop/Desktop,Night,4,5,5,5,2,2,No,No,No,No plans to switch,"Better streaming quality, Fewer ads",Improve content variety,Synthetic,40.86,20.0,59.0,39.95,Experience
55,49.5,Male,Homemaker,12500,Netflix,5.0,4.5,350,Yes,15.0,Romance,Laptop/Desktop,Night,5,5,4,4,4,3,No,Yes,Yes,Poor recommendations,Better streaming quality,Offer better family plans,Synthetic,20.0,29.0,49.0,32.67,Experience
56,39.5,Male,Student,0,Disney+ Hotstar,3.0,9.0,350,No,7.5,Thriller,Mobile,Night,3,3,4,4,4,4,Yes,Yes,No,No plans to switch,"Better recommendations, Better content",Lower subscription prices,Synthetic,48.0,51.0,40.0,46.33,Content
57,39.5,Male,Student,37500,Netflix,2.0,1.5,350,No,7.5,Thriller,Smart TV,Evening,4,5,4,4,3,3,Yes,Yes,No,No plans to switch,"Better streaming quality, Fewer ads",Lower subscription prices,Synthetic,34.0,29.0,53.0,38.67,Experience
58,21.0,Male,Student,0,Netflix,2.0,9.0,100,Yes,15.0,Thriller,Mobile,Evening,3,5,5,4,3,4,Yes,No,Yes,Buffering and playback issues,Better recommendations,Add more exclusive content,Synthetic,43.71,20.0,44.0,35.9,Experience
59,21.0,Female,Student,0,Netflix,2.0,30.0,750,No,7.5,Comedy,Laptop/Desktop,Night,2,5,5,4,4,4,Yes,Yes,No,No plans to switch,"Lower price, Family plans",Reduce buffering,Synthetic,68.86,20.0,40.0,42.95,Cost
60,21.0,Female,Student,0,Amazon Prime Video,3.0,30.0,350,Yes,2.5,Horror,Laptop/Desktop,Evening,4,5,3,5,3,4,No,Yes,No,No plans to switch,"Better recommendations, Better content",Lower subscription prices,Synthetic,34.0,38.0,37.0,36.33,Content
61,21.0,Female,Student,0,Amazon Prime Video,2.0,30.0,350,No,2.5,Horror,Mobile,Night,4,3,5,4,3,4,No,No,No,No plans to switch,Better streaming quality,Lower subscription prices,Synthetic,34.0,42.0,44.0,40.0,Experience
62,21.0,Male,Working Professional,0,Netflix,5.0,1.5,350,Yes,7.5,Comedy,Smart TV,Night,1,4,5,5,1,4,No,Yes,No,No plans to switch,Lower price,Lower subscription prices,Synthetic,76.0,31.0,45.0,50.67,Cost
63,21.0,Male,Homemaker,0,Amazon Prime Video,2.0,4.5,350,Yes,15.0,Comedy,Smart TV,Night,5,3,3,5,1,4,Yes,No,No,No plans to switch,"Better recommendations, Better content",Lower subscription prices,Synthetic,20.0,60.0,45.0,41.67,Content
64,39.5,Male,Student,62500,Netflix,2.0,4.5,350,Yes,15.0,Horror,Mobile,Night,3,5,3,5,3,4,No,Yes,No,No plans to switch,"Lower price, Family plans",Improve content variety,Synthetic,48.0,38.0,37.0,41.0,Cost
65,21.0,Female,Student,0,Amazon Prime Video,5.0,4.5,750,Yes,7.5,Romance,Mobile,Evening,5,3,3,4,4,4,No,No,No,No plans to switch,Better content,Offer better family plans,Synthetic,26.86,60.0,40.0,42.29,Content
66,21.0,Female,Student,0,Netflix,3.0,4.5,350,No,15.0,Thriller,Laptop/Desktop,Evening,4,4,5,5,2,4,Yes,Yes,Yes,Poor recommendations,Better recommendations,Improve recommendations,Synthetic,34.0,31.0,41.0,35.33,Experience
67,21.0,Female,Student,0,Amazon Prime Video,5.0,4.5,350,No,7.5,Horror,Laptop/Desktop,Night,4,4,5,4,2,3,Yes,No,No,No plans to switch,Better streaming quality,Reduce advertisements,Synthetic,34.0,31.0,57.0,40.67,Experience
68,21.0,Male,Student,0,Netflix,2.0,4.5,350,No,7.5,Anime,Laptop/Desktop,Evening,4,5,4,5,3,4,Yes,No,No,No plans to switch,Better streaming quality,Improve content variety,Synthetic,34.0,29.0,37.0,33.33,Experience
69,21.0,Male,Student,12500,Amazon Prime Video,3.0,30.0,350,No,7.5,Romance,Laptop/Desktop,Night,2,4,4,5,3,4,No,No,No,No plans to switch,"Lower price, Family plans",Offer better family plans,Synthetic,62.0,40.0,37.0,46.33,Cost
70,21.0,Male,Student,12500,Amazon Prime Video,2.0,1.5,750,Yes,15.0,Thriller,Laptop/Desktop,Night,4,3,4,5,4,3,No,Yes,No,No plans to switch,Better content,Improve recommendations,Synthetic,40.86,51.0,42.0,44.62,Content
71,21.0,Female,Working Professional,0,Netflix,1.0,30.0,100,No,7.5,Comedy,Mobile,Evening,1,4,5,5,3,5,Yes,Yes,No,No plans to switch,"Lower price, Family plans",Lower subscription prices,Synthetic,71.71,31.0,28.0,43.57,Cost
72,21.0,Female,Homemaker,0,Netflix,2.0,9.0,350,Yes,2.5,Romance,Laptop/Desktop,Night,4,4,3,3,1,3,No,No,No,No plans to switch,Better streaming quality,Improve recommendations,Synthetic,34.0,49.0,68.0,50.33,Experience
73,21.0,Male,Homemaker,0,Netflix,1.0,9.0,100,Yes,2.5,Comedy,Mobile,Evening,4,4,5,5,3,4,No,Yes,No,No plans to switch,"Better streaming quality, Fewer ads",Add more exclusive content,Synthetic,29.71,31.0,37.0,32.57,Experience
74,21.0,Male,Working Professional,125000,Amazon Prime Video,2.0,9.0,750,No,7.5,Thriller,Mobile,Night,3,4,5,3,2,5,No,Yes,No,No plans to switch,"Lower price, Family plans",Offer better family plans,Synthetic,54.86,31.0,46.0,43.95,Cost
75,21.0,Female,Student,0,Amazon Prime Video,2.0,30.0,750,No,2.5,Thriller,Mobile,Evening,4,5,3,5,3,3,Yes,Yes,Yes,Poor streaming experience,Better recommendations,Improve recommendations,Synthetic,40.86,38.0,46.0,41.62,Experience
76,39.5,Female,Student,0,Netflix,5.0,4.5,350,Yes,15.0,Comedy,Mobile,Evening,5,2,4,5,3,5,No,No,No,No plans to switch,"Better recommendations, Better content",Offer better family plans,Synthetic,20.0,62.0,28.0,36.67,Content
77,21.0,Male,Student,0,Netflix,3.0,9.0,100,Yes,2.5,Anime,Laptop/Desktop,Night,5,5,3,5,2,4,No,No,Yes,Poor recommendations,Better recommendations,Offer better family plans,Synthetic,15.71,38.0,41.0,31.57,Experience
78,21.0,Female,Student,0,Netflix,2.0,1.5,100,No,7.5,Romance,Mobile,Night,3,5,5,3,2,3,No,No,No,No plans to switch,Better streaming quality,Offer better family plans,Synthetic,43.71,20.0,64.0,42.57,Experience
79,21.0,Male,Student,0,Netflix,1.0,9.0,350,No,7.5,Action,Smart TV,Night,4,4,4,5,4,3,No,No,No,No plans to switch,"Better streaming quality, Fewer ads",Offer better family plans,Synthetic,34.0,40.0,42.0,38.67,Experience
80,21.0,Male,Student,0,Amazon Prime Video,2.0,9.0,750,No,7.5,Anime,Smart TV,Night,4,4,4,5,2,4,No,Yes,No,No plans to switch,Better recommendations,Improve recommendations,Synthetic,40.86,40.0,41.0,40.62,Experience
81,39.5,Female,Working Professional,0,Netflix,3.0,9.0,100,No,7.5,Action,Smart TV,Night,1,4,5,5,2,5,Yes,No,No,No plans to switch,"Lower price, Family plans",Reduce advertisements,Synthetic,71.71,31.0,32.0,44.9,Cost
82,49.5,Male,Working Professional,0,Netflix,5.0,4.5,750,Yes,7.5,Comedy,Mobile,Evening,4,3,3,5,5,4,No,No,No,No plans to switch,Better content,Add more exclusive content,Synthetic,40.86,60.0,29.0,43.29,Content
83,21.0,Male,Student,125000,Amazon Prime Video,2.0,9.0,350,No,7.5,Romance,Laptop/Desktop,Evening,3,3,4,5,5,3,Yes,No,No,No plans to switch,"Better recommendations, Better content",Offer better family plans,Synthetic,48.0,51.0,38.0,45.67,Content
84,21.0,Male,Student,0,Amazon Prime Video,2.0,9.0,750,No,15.0,Action,Laptop/Desktop,Evening,3,5,4,4,3,5,Yes,No,No,No plans to switch,Lower price,Reduce advertisements,Synthetic,54.86,29.0,35.0,39.62,Cost
85,21.0,Female,Student,37500,Netflix,2.0,4.5,350,No,2.5,Action,Mobile,Night,1,3,3,5,2,4,No,No,Yes,Lower price,Lower price,Add more exclusive content,Synthetic,76.0,60.0,41.0,59.0,Cost
86,21.0,Male,Student,0,Netflix,5.0,4.5,750,Yes,7.5,Drama,Mobile,Night,4,5,3,5,2,4,Yes,Yes,Yes,Poor streaming experience,Better streaming quality,Improve content variety,Synthetic,40.86,38.0,41.0,39.95,Experience
87,49.5,Male,Working Professional,0,Netflix,1.0,4.5,750,Yes,7.5,Romance,Mobile,Evening,4,5,3,5,1,4,No,Yes,Yes,Poor recommendations,"Better streaming quality, Fewer ads",Add more exclusive content,Synthetic,40.86,38.0,45.0,41.29,Experience
88,39.5,Male,Student,0,Netflix,3.0,4.5,750,No,2.5,Horror,Mobile,Night,5,5,5,4,3,4,Yes,Yes,Yes,Poor streaming experience,Better streaming quality,Add more exclusive content,Synthetic,26.86,20.0,44.0,30.29,Experience
89,21.0,Female,Student,0,Disney+ Hotstar,2.0,30.0,100,No,7.5,Horror,Smart TV,Evening,4,4,4,4,3,4,No,Yes,Yes,Poor streaming experience,Better recommendations,Improve content variety,Synthetic,29.71,40.0,44.0,37.9,Experience
90,39.5,Male,Student,12500,Netflix,5.0,4.5,750,Yes,7.5,Horror,Mobile,Evening,4,5,3,5,3,3,Yes,Yes,No,No plans to switch,"Better streaming quality, Fewer ads",Improve content variety,Synthetic,40.86,38.0,46.0,41.62,Experience
91,21.0,Male,Student,0,Netflix,3.0,9.0,350,Yes,15.0,Comedy,Smart TV,Night,1,4,4,4,4,3,No,Yes,Yes,Lower price,Lower price,Improve recommendations,Synthetic,76.0,40.0,49.0,55.0,Cost
92,21.0,Male,Student,125000,Netflix,5.0,9.0,350,No,15.0,Thriller,Smart TV,Night,4,4,4,5,3,3,No,Yes,No,No plans to switch,"Better streaming quality, Fewer ads",Reduce advertisements,Synthetic,34.0,40.0,46.0,40.0,Experience
93,21.0,Male,Student,125000,Netflix,3.0,30.0,750,Yes,7.5,Comedy,Mobile,Night,3,4,5,4,3,3,No,Yes,No,No plans to switch,"Lower price, Better content",Improve content variety,Synthetic,54.86,31.0,53.0,46.29,Cost
94,21.0,Female,Student,12500,Disney+ Hotstar,5.0,9.0,350,Yes,7.5,Thriller,Mobile,Night,4,5,5,4,5,2,Yes,Yes,Yes,Poor streaming experience,Better streaming quality,Improve content variety,Synthetic,34.0,20.0,54.0,36.0,Experience
95,39.5,Female,Student,37500,Netflix,2.0,30.0,750,Yes,2.5,Action,Laptop/Desktop,Night,3,4,4,5,3,3,Yes,No,No,No plans to switch,Lower price,Improve content variety,Synthetic,54.86,40.0,46.0,46.95,Cost
96,21.0,Male,Student,62500,Amazon Prime Video,3.0,9.0,350,No,2.5,Horror,Mobile,Night,2,5,5,3,4,4,No,Yes,No,No plans to switch,"Lower price, Better content",Improve content variety,Synthetic,62.0,20.0,47.0,43.0,Cost
97,21.0,Female,Homemaker,0,Netflix,2.0,4.5,750,No,15.0,Horror,Mobile,Night,2,4,4,4,4,3,Yes,No,No,No plans to switch,"Lower price, Family plans",Reduce advertisements,Synthetic,68.86,40.0,49.0,52.62,Cost
98,49.5,Male,Student,62500,Netflix,3.0,9.0,350,No,15.0,Thriller,Mobile,Evening,3,5,3,4,1,4,No,Yes,Yes,Buffering and playback issues,Better streaming quality,Add more exclusive content,Synthetic,48.0,38.0,52.0,46.0,Experience
99,21.0,Female,Student,0,Amazon Prime Video,2.0,30.0,350,No,15.0,Action,Smart TV,Night,4,5,5,5,3,4,Yes,Yes,No,No plans to switch,Better streaming quality,Lower subscription prices,Synthetic,34.0,20.0,37.0,30.33,Experience
100,21.0,Female,Student,0,Netflix,1.0,30.0,750,Yes,7.5,Drama,Smart TV,Evening,3,5,4,5,4,4,Yes,No,No,No plans to switch,"Lower price, Better content",Lower subscription prices,Synthetic,54.86,29.0,33.0,38.95,Cost
101,21.0,Male,Student,0,Netflix,3.0,9.0,350,Yes,7.5,Romance,Mobile,Evening,4,4,4,4,3,3,No,No,No,No plans to switch,"Better streaming quality, Fewer ads",Offer better family plans,Synthetic,34.0,40.0,53.0,42.33,Experience
102,21.0,Female,Student,37500,Amazon Prime Video,2.0,30.0,750,Yes,2.5,Action,Mobile,Evening,5,5,4,4,5,4,No,No,No,No plans to switch,"Better streaming quality, Fewer ads",Improve recommendations,Synthetic,26.86,29.0,36.0,30.62,Experience
103,21.0,Male,Student,0,Disney+ Hotstar,3.0,9.0,100,No,7.5,Action,Mobile,Evening,2,3,3,4,3,5,Yes,No,No,No plans to switch,"Better recommendations, Better content",Reduce buffering,Synthetic,57.71,60.0,35.0,50.9,Content
104,21.0,Male,Student,0,Netflix,1.0,9.0,100,Yes,7.5,Romance,Laptop/Desktop,Night,5,3,3,5,1,3,No,Yes,No,No plans to switch,"Better recommendations, Better content",Improve recommendations,Synthetic,15.71,60.0,54.0,43.24,Content
105,21.0,Female,Student,0,Netflix,1.0,30.0,350,No,7.5,Drama,Mobile,Evening,4,4,5,5,4,4,Yes,Yes,No,No plans to switch,Lower price,Improve content variety,Synthetic,34.0,31.0,33.0,32.67,Cost
106,21.0,Male,Student,0,Netflix,1.0,1.5,100,No,7.5,Comedy,Laptop/Desktop,Night,5,5,4,4,3,3,Yes,Yes,Yes,Poor recommendations,Better recommendations,Add more exclusive content,Synthetic,15.71,29.0,53.0,32.57,Experience
107,21.0,Male,Homemaker,0,Netflix,2.0,9.0,350,Yes,15.0,Comedy,Laptop/Desktop,Evening,4,4,5,3,2,4,Yes,Yes,No,No plans to switch,Better streaming quality,Lower subscription prices,Synthetic,34.0,31.0,55.0,40.0,Experience
