Timestamp,Age,Gender,Occupation,Monthly Income,Primary OTT Platform,Number of OTT Subscriptions,Subscription Tenure,Monthly OTT Spend,Share Account?,Hours Watched per Week,Preferred Genre,Primary Device,Usual Viewing Time,Pricing Satisfaction,Content Satisfaction,Content Variety,Recommendation Quality,Advertisement Tolerance,Streaming Experience,Switched Before,Competitor Awareness,Switch Intent,Main Reason For Switching,What Would Encourage Stay,Suggestions To Improve,Data_Source,Age_Numeric,Monthly Income_Numeric,Number of OTT Subscriptions_Numeric,Monthly OTT Spend_Numeric,Hours Watched per Week_Numeric,Subscription Tenure_Numeric
09/07/2026 19:47:00,25 to 34,Male,Working Professional,"Below 25,000",Netflix,3,6 to 12 months,0 to 199,Yes,5 to 10,Romance,Smart TV,Evening,5,4,3,4,4,3,No,No,No,No plans to switch,"Better content, More content variety, Better streaming quality, Fewer ads",Improve streaming quality and reduce buffering,Synthetic,29,15000,3,100,7.5,9.0
09/08/2026 17:05:00,18 to 24,Female,Student,No Income,ZEE5,2,1 to 2 years,500 to 999,Yes,5 to 10,Romance,Smart TV,Evening,3,5,4,3,3,4,No,Yes,No,No plans to switch,"Lower price, Better recommendations, Family plans, Fewer ads",Add more regional and multilingual content,Synthetic,21,0,2,750,7.5,18.0
09/09/2026 18:27:00,45 to 54,Male,Homemaker,"75,001 to 1,00,000",Amazon Prime Video,3,3 to 6 months,0 to 199,No,21 to 30,Thriller,Mobile,Evening,4,4,4,5,3,5,Yes,Yes,Yes,High subscription cost,"Better content, Fewer ads",Offer student discounts and family plans,Synthetic,49,87500,3,100,25.5,4.5
09/10/2026 09:01:00,18 to 24,Female,Student,No Income,Netflix,4,6 to 12 months,500 to 999,No,5 to 10,Action,Mobile,Evening,3,4,4,4,4,4,No,Yes,No,No plans to switch,"Lower price, Better content, Family plans, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,21,0,4,750,7.5,9.0
09/11/2026 10:13:00,18 to 24,Other,Student,No Income,Netflix,5+,1 to 2 years,1500+,Yes,5 to 10,Thriller,Tablet,Afternoon,3,5,3,3,1,4,No,Yes,No,No plans to switch,"Lower price, More content variety, Better recommendations, Exclusive originals, Family plans, Fewer ads",Add more regional and multilingual content,Synthetic,21,0,5,1750,7.5,18.0
09/12/2026 12:32:00,55+,Male,Working Professional,"Above 1,00,000",Disney+ Hotstar,3,1 to 2 years,200 to 499,Yes,11 to 20,Horror,Smart TV,Night,4,5,4,5,4,4,Yes,Yes,No,Lack of content,Exclusive originals,Offer student discounts and family plans,Synthetic,58,125000,3,350,15.5,18.0
09/13/2026 18:01:00,45 to 54,Female,Working Professional,"Below 25,000",Netflix,3,3 to 6 months,500 to 999,Yes,21 to 30,Drama,Smart TV,Evening,3,4,3,4,2,2,No,No,No,No plans to switch,"Lower price, Better content, More content variety, Better streaming quality, Exclusive originals, Fewer ads",Provide better recommendations and personalized content,Synthetic,49,15000,3,750,25.5,4.5
09/14/2026 17:12:00,18 to 24,Male,Student,No Income,Netflix,3,1 to 2 years,500 to 999,Yes,21 to 30,Romance,Laptop/Desktop,Night,3,3,3,3,5,4,Yes,Yes,Yes,Lack of content,"Lower price, Better content, More content variety, Better recommendations, Fewer ads",Add more regional and multilingual content,Synthetic,21,0,3,750,25.5,18.0
09/15/2026 20:41:00,18 to 24,Female,Student,No Income,Amazon Prime Video,3,6 to 12 months,1000 to 1499,No,11 to 20,Thriller,Smart TV,Night,4,3,4,3,3,5,No,No,No,No plans to switch,"Better content, Better recommendations, Exclusive originals, Family plans, Fewer ads",Reduce advertisements and improve app performance,Synthetic,21,0,3,1250,15.5,9.0
09/16/2026 20:34:00,18 to 24,Male,Student,No Income,Netflix,2,1 to 2 years,0 to 199,No,5 to 10,Action,Smart TV,Night,5,4,4,3,2,4,No,No,No,No plans to switch,"Better content, Better recommendations, Family plans, Fewer ads",Reduce advertisements and improve app performance,Synthetic,21,0,2,100,7.5,18.0
09/17/2026 15:14:00,18 to 24,Male,Student,No Income,Disney+ Hotstar,2,3 to 6 months,500 to 999,Yes,5 to 10,Comedy,Mobile,Afternoon,5,4,3,5,3,4,Yes,Yes,No,High subscription cost,"Better content, More content variety, Fewer ads",Offer student discounts and family plans,Synthetic,21,0,2,750,7.5,4.5
09/18/2026 16:37:00,35 to 44,Female,Homemaker,"Below 25,000",Amazon Prime Video,1,6 to 12 months,200 to 499,No,5 to 10,Action,Mobile,Night,4,3,4,4,4,5,No,No,No,No plans to switch,"Better content, Family plans",Reduce advertisements and improve app performance,Synthetic,39,15000,1,350,7.5,9.0
09/19/2026 13:51:00,35 to 44,Male,Working Professional,"25,000 to 50,000",Netflix,2,6 to 12 months,500 to 999,No,11 to 20,Romance,Smart TV,Evening,3,3,3,4,1,5,No,No,No,No plans to switch,"Lower price, Better content, More content variety, Exclusive originals, Family plans, Fewer ads",Offer student discounts and family plans,Synthetic,39,37500,2,750,15.5,9.0
09/20/2026 09:48:00,55+,Male,Working Professional,"Above 1,00,000",Amazon Prime Video,3,1 to 2 years,200 to 499,No,11 to 20,Anime,Mobile,Evening,5,4,5,2,4,4,Yes,Yes,No,Too many advertisements,"Better content, Better recommendations",Reduce subscription prices and offer more plans,Synthetic,58,125000,3,350,15.5,18.0
09/21/2026 21:10:00,18 to 24,Female,Student,No Income,Netflix,1,>2 years,200 to 499,No,21 to 30,Action,Smart TV,Night,2,3,5,3,3,4,No,Yes,No,No plans to switch,"Lower price, Better content, Better recommendations, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,21,0,1,350,25.5,30.0
09/22/2026 20:27:00,18 to 24,Male,Student,No Income,Netflix,5+,1 to 2 years,1500+,No,5 to 10,Horror,Smart TV,Night,3,3,4,4,3,4,Yes,No,No,Poor streaming experience,"Lower price, Better content, Fewer ads",Improve streaming quality and reduce buffering,Synthetic,21,0,5,1750,7.5,18.0
09/23/2026 14:17:00,18 to 24,Female,Working Professional,"75,001 to 1,00,000",Amazon Prime Video,2,6 to 12 months,500 to 999,No,11 to 20,Anime,Laptop/Desktop,Night,4,3,4,5,3,4,No,Yes,No,No plans to switch,"Better content, Exclusive originals, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,21,87500,2,750,15.5,9.0
09/24/2026 11:13:00,55+,Male,Self-Employed,"25,000 to 50,000",Netflix,2,>2 years,200 to 499,Yes,11 to 20,Comedy,Mobile,Afternoon,2,3,4,4,3,5,Yes,Yes,Yes,High subscription cost,"Lower price, Better content, Exclusive originals, Family plans, Fewer ads",Offer student discounts and family plans,Synthetic,58,37500,2,350,15.5,30.0
09/02/2026 21:21:00,18 to 24,Male,Student,No Income,SonyLIV,1,3 to 6 months,200 to 499,Yes,5 to 10,Romance,Laptop/Desktop,Evening,3,4,4,3,3,4,No,No,No,No plans to switch,"Lower price, Better content, Better recommendations, Fewer ads",Add more latest movies and exclusive content,Synthetic,21,0,1,350,7.5,4.5
09/03/2026 10:05:00,18 to 24,Male,Student,No Income,SonyLIV,3,6 to 12 months,0 to 199,Yes,5 to 10,Comedy,Mobile,Evening,1,3,3,3,3,4,No,No,No,No plans to switch,"Lower price, Better content, More content variety, Better recommendations, Exclusive originals, Fewer ads",Add more latest movies and exclusive content,Synthetic,21,0,3,100,7.5,9.0
09/04/2026 15:06:00,18 to 24,Female,Student,No Income,Amazon Prime Video,2,>2 years,500 to 999,Yes,5 to 10,Drama,Smart TV,Morning,3,5,4,2,4,4,No,Yes,No,No plans to switch,"Lower price, Better recommendations",Improve streaming quality and reduce buffering,Synthetic,21,0,2,750,7.5,30.0
09/05/2026 14:54:00,18 to 24,Male,Student,No Income,Netflix,2,6 to 12 months,200 to 499,Yes,<5,Thriller,Mobile,Night,2,5,2,4,3,3,No,No,No,No plans to switch,"Lower price, More content variety, Better streaming quality, Fewer ads",Reduce advertisements and improve app performance,Synthetic,21,0,2,350,3.0,9.0
09/06/2026 14:38:00,18 to 24,Female,Student,No Income,Amazon Prime Video,5+,>2 years,200 to 499,Yes,21 to 30,Romance,Mobile,Night,4,4,4,4,3,4,No,Yes,No,No plans to switch,"Better content, Exclusive originals, Fewer ads",Add more latest movies and exclusive content,Synthetic,21,0,5,350,25.5,30.0
09/07/2026 13:51:00,35 to 44,Male,Working Professional,"25,000 to 50,000",Netflix,4,6 to 12 months,200 to 499,No,5 to 10,Thriller,Smart TV,Night,2,4,4,3,3,4,No,Yes,No,No plans to switch,"Lower price, Better content, Better recommendations, Exclusive originals, Family plans, Fewer ads",Offer student discounts and family plans,Synthetic,39,37500,4,350,7.5,9.0
09/08/2026 09:46:00,35 to 44,Male,Working Professional,"75,001 to 1,00,000",Amazon Prime Video,4,<3 months,500 to 999,Yes,5 to 10,Thriller,Laptop/Desktop,Night,3,5,5,3,3,4,No,Yes,No,No plans to switch,"Lower price, Better recommendations, Fewer ads",Reduce advertisements and improve app performance,Synthetic,39,87500,4,750,7.5,2.0
09/09/2026 16:34:00,18 to 24,Male,Student,No Income,Amazon Prime Video,5+,3 to 6 months,0 to 199,Yes,11 to 20,Thriller,Mobile,Night,4,3,5,3,3,4,No,Yes,No,No plans to switch,"Better content, Better recommendations, Fewer ads",Offer student discounts and family plans,Synthetic,21,0,5,100,15.5,4.5
09/10/2026 10:59:00,18 to 24,Female,Student,No Income,Netflix,2,6 to 12 months,1000 to 1499,Yes,5 to 10,Romance,Laptop/Desktop,Evening,3,3,3,3,1,4,No,No,No,No plans to switch,"Lower price, Better content, More content variety, Better recommendations, Family plans, Fewer ads",Offer student discounts and family plans,Synthetic,21,0,2,1250,7.5,9.0
09/11/2026 15:05:00,18 to 24,Other,Student,No Income,Amazon Prime Video,5+,6 to 12 months,200 to 499,Yes,5 to 10,Drama,Laptop/Desktop,Night,3,5,3,5,3,3,No,No,No,No plans to switch,"Lower price, More content variety, Better streaming quality, Fewer ads",Improve streaming quality and reduce buffering,Synthetic,21,0,5,350,7.5,9.0
09/12/2026 17:18:00,18 to 24,Male,Self-Employed,"25,000 to 50,000",Netflix,3,6 to 12 months,0 to 199,Yes,11 to 20,Romance,Mobile,Evening,3,4,4,4,3,3,Yes,Yes,Yes,Poor streaming experience,"Lower price, Better content, Better streaming quality, Fewer ads",Provide better recommendations and personalized content,Synthetic,21,37500,3,100,15.5,9.0
09/13/2026 19:39:00,55+,Male,Working Professional,"25,000 to 50,000",Netflix,3,1 to 2 years,500 to 999,Yes,11 to 20,Romance,Smart TV,Night,4,5,3,3,3,4,No,No,No,No plans to switch,"More content variety, Better recommendations, Exclusive originals, Fewer ads",Provide better recommendations and personalized content,Synthetic,58,37500,3,750,15.5,18.0
09/14/2026 14:36:00,18 to 24,Female,Student,No Income,SonyLIV,4,6 to 12 months,0 to 199,Yes,5 to 10,Thriller,Mobile,Evening,4,5,4,4,3,3,Yes,Yes,No,Lack of content,"Better streaming quality, Exclusive originals, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,21,0,4,100,7.5,9.0
09/15/2026 12:45:00,18 to 24,Female,Student,No Income,Netflix,2,3 to 6 months,500 to 999,Yes,11 to 20,Thriller,Laptop/Desktop,Night,3,3,5,4,3,4,No,No,No,No plans to switch,"Lower price, Better content, Fewer ads",Reduce advertisements and improve app performance,Synthetic,21,0,2,750,15.5,4.5
09/16/2026 10:02:00,18 to 24,Male,Student,No Income,Amazon Prime Video,1,1 to 2 years,500 to 999,No,5 to 10,Thriller,Laptop/Desktop,Evening,3,5,5,3,2,5,Yes,Yes,Yes,Too many advertisements,"Lower price, Better recommendations, Exclusive originals, Family plans, Fewer ads",Offer student discounts and family plans,Synthetic,21,0,1,750,7.5,18.0
09/17/2026 19:14:00,18 to 24,Female,Student,No Income,ZEE5,2,3 to 6 months,500 to 999,No,11 to 20,Horror,Laptop/Desktop,Night,4,4,2,4,3,4,No,No,Yes,Too many advertisements,"Better content, More content variety, Fewer ads",Add more latest movies and exclusive content,Synthetic,21,0,2,750,15.5,4.5
09/18/2026 21:18:00,35 to 44,Male,Working Professional,"50,001 to 75,000",Disney+ Hotstar,3,3 to 6 months,500 to 999,Yes,21 to 30,Thriller,Laptop/Desktop,Evening,4,3,4,5,4,5,No,Yes,No,No plans to switch,Better content,Improve streaming quality and reduce buffering,Synthetic,39,62500,3,750,25.5,4.5
09/19/2026 10:54:00,45 to 54,Male,Self-Employed,"75,001 to 1,00,000",ZEE5,2,1 to 2 years,200 to 499,Yes,11 to 20,Anime,Tablet,Night,3,5,3,3,3,3,Yes,Yes,Yes,High subscription cost,"Lower price, More content variety, Better recommendations, Better streaming quality, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,49,87500,2,350,15.5,18.0
09/20/2026 12:55:00,18 to 24,Male,Homemaker,"25,000 to 50,000",Amazon Prime Video,5+,>2 years,500 to 999,No,30+,Romance,Mobile,Evening,4,3,4,3,3,4,No,No,No,No plans to switch,"Better content, Better recommendations, Family plans, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,21,37500,5,750,35.0,30.0
09/21/2026 10:24:00,45 to 54,Other,Working Professional,"25,000 to 50,000",Disney+ Hotstar,3,3 to 6 months,500 to 999,Yes,5 to 10,Thriller,Laptop/Desktop,Night,2,4,4,4,4,3,Yes,Yes,Yes,Poor streaming experience,"Lower price, Better content, Better streaming quality, Family plans, Fewer ads",Offer student discounts and family plans,Synthetic,49,37500,3,750,7.5,4.5
09/22/2026 13:29:00,45 to 54,Other,Working Professional,"Above 1,00,000",Amazon Prime Video,5+,6 to 12 months,500 to 999,No,11 to 20,Romance,Laptop/Desktop,Night,3,4,3,3,2,3,No,No,Yes,Too many advertisements,"Lower price, Better content, More content variety, Better recommendations, Better streaming quality, Fewer ads",Add more regional and multilingual content,Synthetic,49,125000,5,750,15.5,9.0
09/23/2026 19:53:00,35 to 44,Male,Working Professional,"75,001 to 1,00,000",Netflix,4,1 to 2 years,200 to 499,Yes,5 to 10,Thriller,Tablet,Night,3,4,5,3,3,4,No,No,No,No plans to switch,"Lower price, Better content, Better recommendations, Family plans, Fewer ads",Provide better recommendations and personalized content,Synthetic,39,87500,4,350,7.5,18.0
09/24/2026 14:10:00,18 to 24,Female,Working Professional,"75,001 to 1,00,000",Disney+ Hotstar,2,<3 months,0 to 199,No,30+,Romance,Laptop/Desktop,Night,4,5,3,4,3,5,Yes,No,No,High subscription cost,"More content variety, Fewer ads",Improve streaming quality and reduce buffering,Synthetic,21,87500,2,100,35.0,2.0
09/02/2026 14:22:00,18 to 24,Male,Homemaker,"25,000 to 50,000",Netflix,3,6 to 12 months,200 to 499,No,5 to 10,Drama,Smart TV,Evening,4,3,3,4,3,4,No,Yes,Yes,Too many advertisements,"Better content, More content variety, Fewer ads",Reduce advertisements and improve app performance,Synthetic,21,37500,3,350,7.5,9.0
09/03/2026 12:42:00,18 to 24,Male,Student,No Income,Amazon Prime Video,3,<3 months,500 to 999,Yes,21 to 30,Documentary,Mobile,Evening,1,4,5,5,3,3,No,Yes,Yes,Lack of content,"Lower price, Better content, Better streaming quality, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,21,0,3,750,25.5,2.0
09/04/2026 13:44:00,18 to 24,Male,Student,No Income,Amazon Prime Video,3,3 to 6 months,500 to 999,No,11 to 20,Action,Laptop/Desktop,Afternoon,3,5,4,4,5,3,Yes,Yes,Yes,Lack of content,"Lower price, Better streaming quality, Exclusive originals",Add more latest movies and exclusive content,Synthetic,21,0,3,750,15.5,4.5
09/05/2026 19:41:00,35 to 44,Male,Homemaker,"Above 1,00,000",Netflix,5+,6 to 12 months,500 to 999,No,5 to 10,Anime,Smart TV,Night,4,4,3,5,4,5,No,No,No,No plans to switch,"Better content, More content variety, Exclusive originals, Family plans",Add more latest movies and exclusive content,Synthetic,39,125000,5,750,7.5,9.0
09/06/2026 10:38:00,18 to 24,Male,Student,No Income,JioCinema,2,>2 years,200 to 499,Yes,11 to 20,Romance,Laptop/Desktop,Night,4,4,4,4,2,4,No,No,No,No plans to switch,"Better content, Family plans, Fewer ads",Provide better recommendations and personalized content,Synthetic,21,0,2,350,15.5,30.0
09/07/2026 19:10:00,35 to 44,Male,Working Professional,"50,001 to 75,000",Amazon Prime Video,1,3 to 6 months,500 to 999,No,11 to 20,Romance,Tablet,Evening,3,2,3,2,3,4,No,No,No,No plans to switch,"Lower price, Better content, More content variety, Better recommendations, Fewer ads",Add more latest movies and exclusive content,Synthetic,39,62500,1,750,15.5,4.5
09/08/2026 17:46:00,18 to 24,Female,Student,No Income,Netflix,5+,6 to 12 months,200 to 499,Yes,11 to 20,Action,Mobile,Night,3,3,5,3,3,4,Yes,Yes,Yes,Lack of content,"Lower price, Better content, Better recommendations, Exclusive originals, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,21,0,5,350,15.5,9.0
09/09/2026 12:10:00,18 to 24,Female,Working Professional,"25,000 to 50,000",Amazon Prime Video,3,3 to 6 months,500 to 999,No,11 to 20,Drama,Smart TV,Night,4,4,3,3,3,4,Yes,Yes,No,High subscription cost,"Better content, More content variety, Better recommendations, Fewer ads",Provide better recommendations and personalized content,Synthetic,21,37500,3,750,15.5,4.5
09/10/2026 16:24:00,55+,Female,Working Professional,"Above 1,00,000",Disney+ Hotstar,5+,6 to 12 months,200 to 499,Yes,11 to 20,Action,Mobile,Evening,4,4,3,3,5,4,No,No,No,No plans to switch,"Better content, More content variety, Better recommendations",Add more regional and multilingual content,Synthetic,58,125000,5,350,15.5,9.0
09/11/2026 13:59:00,18 to 24,Male,Homemaker,"50,001 to 75,000",Netflix,3,3 to 6 months,500 to 999,Yes,11 to 20,Documentary,Mobile,Night,3,4,4,4,4,4,No,No,No,No plans to switch,"Lower price, Better content",Reduce subscription prices and offer more plans,Synthetic,21,62500,3,750,15.5,4.5
09/12/2026 19:44:00,18 to 24,Female,Student,No Income,Netflix,3,3 to 6 months,500 to 999,No,5 to 10,Drama,Laptop/Desktop,Night,4,4,4,3,3,5,No,Yes,No,No plans to switch,"Better content, Better recommendations, Fewer ads",Offer student discounts and family plans,Synthetic,21,0,3,750,7.5,4.5
09/13/2026 17:14:00,18 to 24,Male,Student,No Income,Amazon Prime Video,3,6 to 12 months,500 to 999,No,11 to 20,Documentary,Mobile,Evening,1,4,4,4,3,4,No,Yes,No,No plans to switch,"Lower price, Better content, Exclusive originals, Fewer ads",Offer student discounts and family plans,Synthetic,21,0,3,750,15.5,9.0
09/14/2026 19:20:00,18 to 24,Male,Working Professional,"25,000 to 50,000",Amazon Prime Video,3,3 to 6 months,200 to 499,Yes,5 to 10,Romance,Mobile,Night,4,4,3,5,3,3,No,No,No,No plans to switch,"Better content, More content variety, Better streaming quality, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,21,37500,3,350,7.5,4.5
09/15/2026 21:49:00,35 to 44,Female,Working Professional,"25,000 to 50,000",SonyLIV,4,6 to 12 months,200 to 499,Yes,11 to 20,Anime,Smart TV,Night,4,4,3,3,3,3,No,No,No,No plans to switch,"Better content, More content variety, Better recommendations, Better streaming quality, Exclusive originals, Family plans, Fewer ads",Improve streaming quality and reduce buffering,Synthetic,39,37500,4,350,15.5,9.0
09/16/2026 09:14:00,25 to 34,Male,Working Professional,"25,000 to 50,000",Amazon Prime Video,2,>2 years,0 to 199,No,5 to 10,Drama,Smart TV,Night,5,4,5,3,3,3,Yes,Yes,No,Lack of content,"Better content, Better recommendations, Better streaming quality, Exclusive originals, Fewer ads",Improve streaming quality and reduce buffering,Synthetic,29,37500,2,100,7.5,30.0
09/17/2026 09:51:00,25 to 34,Male,Working Professional,"50,001 to 75,000",Netflix,2,3 to 6 months,0 to 199,Yes,5 to 10,Documentary,Laptop/Desktop,Evening,4,3,5,4,3,3,Yes,Yes,No,High subscription cost,"Better content, Better streaming quality, Fewer ads",Reduce advertisements and improve app performance,Synthetic,29,62500,2,100,7.5,4.5
09/18/2026 14:25:00,18 to 24,Male,Student,No Income,ZEE5,5+,6 to 12 months,500 to 999,No,11 to 20,Action,Smart TV,Afternoon,4,4,5,3,2,3,No,Yes,No,No plans to switch,"Better content, Better recommendations, Better streaming quality, Fewer ads",Improve streaming quality and reduce buffering,Synthetic,21,0,5,750,15.5,9.0
09/19/2026 13:04:00,18 to 24,Female,Student,No Income,Amazon Prime Video,2,6 to 12 months,500 to 999,No,5 to 10,Romance,Mobile,Evening,4,4,3,3,3,4,No,No,No,No plans to switch,"Better content, More content variety, Better recommendations, Exclusive originals, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,21,0,2,750,7.5,9.0
09/20/2026 12:58:00,25 to 34,Female,Working Professional,"50,001 to 75,000",Amazon Prime Video,1,3 to 6 months,0 to 199,Yes,5 to 10,Documentary,Laptop/Desktop,Night,3,4,2,3,3,3,Yes,No,No,High subscription cost,"Lower price, Better content, More content variety, Better recommendations, Better streaming quality, Fewer ads",Add more latest movies and exclusive content,Synthetic,29,62500,1,100,7.5,4.5
09/21/2026 18:56:00,18 to 24,Female,Student,No Income,Netflix,2,3 to 6 months,0 to 199,No,5 to 10,Comedy,Smart TV,Night,4,4,3,3,2,4,No,No,No,No plans to switch,"Better content, More content variety, Better recommendations, Fewer ads",Offer student discounts and family plans,Synthetic,21,0,2,100,7.5,4.5
09/22/2026 20:20:00,18 to 24,Male,Student,No Income,Netflix,2,>2 years,200 to 499,Yes,5 to 10,Horror,Laptop/Desktop,Night,2,3,5,4,4,4,No,Yes,No,No plans to switch,"Lower price, Better content, Exclusive originals, Family plans, Fewer ads",Add more latest movies and exclusive content,Synthetic,21,0,2,350,7.5,30.0
